airQuality,illness,light,id,fire,sound,soilMoisture,pressure,waterLevel,temperature,humidity,createdAt
1017.0,Normal,541.0,449,81.0,450.0,1.0,101.2359,7.0,25.0,17.0,2019-03-23 20:09:37.048
1016.0,Normal,537.0,448,81.0,445.0,1.0,101.5273,7.0,25.0,16.0,2019-03-23 20:09:25.999
1016.0,Normal,543.0,447,81.0,450.0,1.0,101.0304,7.0,25.0,16.0,2019-03-23 20:09:14.921
1017.0,Normal,541.0,446,81.0,449.0,1.0,100.2018,7.0,25.0,17.0,2019-03-23 20:09:03.862
1014.0,Normal,537.0,445,81.0,446.0,1.0,100.0987,7.0,25.0,16.0,2019-03-23 20:08:52.795
1018.0,Normal,536.0,444,81.0,445.0,1.0,101.375,6.0,25.0,17.0,2019-03-23 20:08:41.728
1018.0,Normal,535.0,443,82.0,445.0,1.0,100.6862,6.0,25.0,16.0,2019-03-23 20:08:30.663
1016.0,Normal,541.0,442,81.0,448.0,1.0,100.6372,7.0,25.0,16.0,2019-03-23 20:08:19.574
1015.0,Normal,545.0,441,82.0,451.0,1.0,100.6191,7.0,25.0,16.0,2019-03-23 20:08:08.51
1016.0,Normal,508.0,440,82.0,424.0,1.0,101.861,7.0,25.0,16.0,2019-03-23 20:07:57.457
1016.0,Normal,550.0,439,81.0,455.0,1.0,101.0021,7.0,25.0,17.0,2019-03-23 20:07:46.395
1017.0,Normal,537.0,438,81.0,445.0,1.0,100.4097,6.0,25.0,16.0,2019-03-23 20:07:35.324
1016.0,Normal,534.0,437,81.0,443.0,1.0,100.9246,7.0,25.0,16.0,2019-03-23 20:07:24.263
1016.0,Normal,534.0,436,82.0,444.0,1.0,100.2146,7.0,25.0,16.0,2019-03-23 20:07:13.194
1017.0,Normal,537.0,435,81.0,446.0,1.0,100.5171,7.0,25.0,16.0,2019-03-23 20:07:02.124
1017.0,Normal,543.0,434,81.0,450.0,1.0,101.1772,6.0,25.0,16.0,2019-03-23 20:06:51.063
1017.0,Normal,544.0,433,81.0,451.0,1.0,101.0039,6.0,25.0,16.0,2019-03-23 20:06:40.013
1017.0,Normal,543.0,432,81.0,450.0,1.0,100.9183,6.0,25.0,16.0,2019-03-23 20:06:28.929
1017.0,Normal,543.0,431,81.0,451.0,1.0,101.4927,7.0,25.0,16.0,2019-03-23 20:06:17.866
1016.0,Normal,542.0,430,81.0,449.0,1.0,100.0552,7.0,25.0,16.0,2019-03-23 20:06:06.796
1016.0,Normal,535.0,429,81.0,444.0,1.0,101.2251,6.0,25.0,16.0,2019-03-23 20:05:55.731
1016.0,Normal,537.0,428,81.0,446.0,1.0,101.8565,6.0,25.0,16.0,2019-03-23 20:05:44.672
1019.0,Normal,547.0,427,81.0,452.0,1.0,101.6671,6.0,25.0,16.0,2019-03-23 20:05:33.597
1016.0,Normal,542.0,426,81.0,449.0,1.0,101.5861,7.0,25.0,16.0,2019-03-23 20:05:22.534
1016.0,Normal,543.0,425,81.0,451.0,1.0,101.6897,6.0,25.0,16.0,2019-03-23 20:05:11.458
1016.0,Normal,540.0,424,81.0,448.0,1.0,101.8079,7.0,25.0,16.0,2019-03-23 20:05:00.396
1016.0,Normal,535.0,423,81.0,443.0,1.0,101.1418,7.0,25.0,16.0,2019-03-23 20:04:49.331
1016.0,Normal,544.0,422,81.0,451.0,1.0,100.0836,7.0,25.0,16.0,2019-03-23 20:04:38.32
1016.0,Normal,545.0,421,81.0,451.0,1.0,101.3147,6.0,25.0,16.0,2019-03-23 20:04:27.195
1016.0,Normal,537.0,420,82.0,445.0,1.0,100.7629,7.0,25.0,16.0,2019-03-23 20:04:16.129
1016.0,Normal,547.0,419,80.0,453.0,1.0,101.544,6.0,25.0,16.0,2019-03-23 20:04:05.07
1016.0,Normal,535.0,418,81.0,445.0,1.0,100.0259,7.0,25.0,16.0,2019-03-23 20:03:53.999
1016.0,Normal,546.0,417,81.0,452.0,1.0,100.5995,7.0,25.0,16.0,2019-03-23 20:03:42.942
1016.0,Normal,538.0,416,81.0,447.0,1.0,100.103,7.0,25.0,16.0,2019-03-23 20:03:31.871
1016.0,Normal,545.0,415,82.0,451.0,1.0,100.5323,7.0,25.0,16.0,2019-03-23 20:03:20.807
1016.0,Normal,537.0,414,81.0,446.0,1.0,100.6188,7.0,25.0,16.0,2019-03-23 20:03:09.734
1017.0,Normal,546.0,413,81.0,452.0,1.0,101.1804,7.0,25.0,15.0,2019-03-23 20:02:58.661
1016.0,Normal,543.0,412,82.0,450.0,1.0,100.8747,7.0,25.0,15.0,2019-03-23 20:02:47.602
1016.0,Normal,547.0,411,82.0,453.0,1.0,101.6845,6.0,25.0,16.0,2019-03-23 20:02:36.538
1016.0,Normal,549.0,410,81.0,454.0,1.0,100.6167,6.0,25.0,16.0,2019-03-23 20:02:25.471
1016.0,Normal,541.0,409,82.0,448.0,1.0,101.2769,7.0,25.0,16.0,2019-03-23 20:02:14.403
1016.0,Normal,551.0,408,81.0,456.0,1.0,100.5931,6.0,25.0,16.0,2019-03-23 20:02:03.344
1016.0,Normal,535.0,407,81.0,444.0,1.0,100.4883,7.0,25.0,16.0,2019-03-23 20:01:52.264
1016.0,Normal,576.0,406,80.0,474.0,1.0,100.312,6.0,25.0,16.0,2019-03-23 20:01:41.319
1017.0,Normal,865.0,405,81.0,683.0,1.0,100.0723,7.0,25.0,16.0,2019-03-23 20:01:30.149
1016.0,Normal,558.0,404,82.0,461.0,1.0,100.3524,6.0,25.0,16.0,2019-03-23 20:01:19.084
1015.0,Normal,544.0,403,81.0,450.0,1.0,101.9926,7.0,25.0,15.0,2019-03-23 20:01:07.991
1016.0,Normal,649.0,402,81.0,526.0,1.0,100.5534,7.0,25.0,15.0,2019-03-23 20:00:56.943
1016.0,Normal,543.0,401,82.0,450.0,1.0,100.0061,6.0,25.0,15.0,2019-03-23 20:00:45.876
1017.0,Normal,533.0,400,81.0,443.0,1.0,101.6581,7.0,25.0,15.0,2019-03-23 20:00:34.809
1016.0,Normal,522.0,399,82.0,435.0,1.0,101.2086,8.0,25.0,16.0,2019-03-23 20:00:23.762
1017.0,Normal,516.0,398,82.0,430.0,1.0,100.5876,7.0,25.0,15.0,2019-03-23 20:00:12.675
1016.0,Normal,543.0,397,81.0,450.0,1.0,100.0678,7.0,25.0,15.0,2019-03-23 20:00:01.608
1017.0,Normal,547.0,396,82.0,453.0,1.0,100.9619,7.0,25.0,16.0,2019-03-23 19:59:50.558
1016.0,Normal,536.0,395,81.0,446.0,1.0,101.847,6.0,25.0,15.0,2019-03-23 19:59:39.984
1016.0,Normal,543.0,394,82.0,450.0,1.0,101.154,7.0,25.0,16.0,2019-03-23 19:59:28.408
1016.0,Normal,545.0,393,81.0,452.0,1.0,100.9507,6.0,25.0,15.0,2019-03-23 19:59:17.336
1016.0,Normal,537.0,392,82.0,446.0,1.0,100.7132,7.0,24.0,15.0,2019-03-23 19:59:06.269
1016.0,Normal,544.0,391,81.0,451.0,1.0,100.9571,7.0,25.0,15.0,2019-03-23 19:58:55.214
1016.0,Normal,545.0,390,81.0,452.0,1.0,100.214,7.0,24.0,15.0,2019-03-23 19:58:44.137
1016.0,Normal,542.0,389,81.0,449.0,1.0,100.1709,7.0,24.0,15.0,2019-03-23 19:58:33.074
1017.0,Normal,551.0,388,82.0,457.0,1.0,100.6792,7.0,24.0,15.0,2019-03-23 19:58:22.023
1016.0,Normal,516.0,387,82.0,432.0,1.0,100.9067,7.0,24.0,15.0,2019-03-23 19:58:10.938
1016.0,Normal,553.0,386,81.0,457.0,1.0,101.1267,6.0,24.0,15.0,2019-03-23 19:57:59.874
1016.0,Normal,537.0,385,81.0,445.0,1.0,101.648,6.0,24.0,15.0,2019-03-23 19:57:48.802
1016.0,Normal,545.0,384,81.0,452.0,1.0,100.263,7.0,25.0,15.0,2019-03-23 19:57:37.739
1017.0,Normal,544.0,383,81.0,452.0,1.0,101.3854,6.0,25.0,15.0,2019-03-23 19:57:26.684
1016.0,Normal,539.0,382,81.0,447.0,1.0,100.2075,6.0,25.0,15.0,2019-03-23 19:57:15.601
1016.0,Normal,545.0,381,81.0,452.0,1.0,100.2959,7.0,25.0,15.0,2019-03-23 19:57:04.544
1016.0,Normal,545.0,380,81.0,451.0,1.0,101.5925,7.0,25.0,15.0,2019-03-23 19:56:53.48
1016.0,Normal,535.0,379,81.0,445.0,1.0,100.6148,7.0,25.0,15.0,2019-03-23 19:56:42.405
1016.0,Normal,545.0,378,81.0,452.0,1.0,101.473,7.0,24.0,15.0,2019-03-23 19:56:31.35
1016.0,Normal,545.0,377,81.0,452.0,1.0,100.3464,7.0,25.0,15.0,2019-03-23 19:56:20.277
1016.0,Normal,536.0,376,81.0,445.0,1.0,100.0977,6.0,25.0,15.0,2019-03-23 19:56:09.218
1015.0,Normal,545.0,375,81.0,452.0,1.0,100.7259,7.0,25.0,15.0,2019-03-23 19:55:58.138
1016.0,Normal,539.0,374,81.0,447.0,1.0,100.6804,7.0,25.0,15.0,2019-03-23 19:55:47.071
1016.0,Normal,541.0,373,81.0,448.0,1.0,100.6916,7.0,25.0,15.0,2019-03-23 19:55:36.017
1016.0,Normal,547.0,372,81.0,453.0,1.0,101.9217,6.0,25.0,15.0,2019-03-23 19:55:24.948
1016.0,Normal,536.0,371,82.0,445.0,1.0,100.8869,7.0,25.0,15.0,2019-03-23 19:55:13.875
1017.0,Normal,549.0,370,81.0,454.0,1.0,100.6499,6.0,25.0,15.0,2019-03-23 19:55:02.812
1016.0,Normal,537.0,369,81.0,446.0,1.0,101.8228,6.0,25.0,15.0,2019-03-23 19:54:51.74
1017.0,Normal,549.0,368,80.0,455.0,1.0,100.0532,7.0,25.0,15.0,2019-03-23 19:54:40.681
1016.0,Normal,531.0,367,81.0,442.0,1.0,101.1723,7.0,25.0,15.0,2019-03-23 19:54:29.622
1017.0,Normal,536.0,366,81.0,445.0,1.0,101.1096,6.0,25.0,15.0,2019-03-23 19:54:18.543
1015.0,Normal,546.0,365,81.0,453.0,1.0,100.5956,6.0,25.0,15.0,2019-03-23 19:54:07.473
1016.0,Normal,541.0,364,81.0,448.0,1.0,101.9273,7.0,25.0,15.0,2019-03-23 19:53:56.414
1017.0,Normal,543.0,363,81.0,451.0,1.0,101.2311,6.0,25.0,16.0,2019-03-23 19:53:45.358
1016.0,Normal,546.0,362,81.0,452.0,1.0,100.1969,7.0,25.0,16.0,2019-03-23 19:53:34.273
1016.0,Normal,534.0,361,82.0,444.0,1.0,101.6861,6.0,25.0,16.0,2019-03-23 19:53:23.208
1017.0,Normal,546.0,360,81.0,453.0,1.0,100.0045,6.0,25.0,16.0,2019-03-23 19:53:12.164
1016.0,Normal,547.0,359,81.0,453.0,1.0,100.198,7.0,25.0,16.0,2019-03-23 19:53:01.092
1016.0,Normal,541.0,358,81.0,449.0,1.0,100.4856,7.0,25.0,16.0,2019-03-23 19:52:50.006
1016.0,Normal,548.0,357,81.0,454.0,1.0,101.7851,6.0,25.0,16.0,2019-03-23 19:52:39.002
1017.0,Normal,536.0,356,81.0,445.0,1.0,101.4355,6.0,25.0,16.0,2019-03-23 19:52:27.878
1017.0,Normal,540.0,355,81.0,448.0,1.0,101.3121,6.0,25.0,16.0,2019-03-23 19:52:16.819
1018.0,Normal,547.0,354,80.0,453.0,1.0,101.5335,6.0,25.0,16.0,2019-03-23 19:52:05.758
1016.0,Normal,543.0,353,81.0,450.0,1.0,101.8859,7.0,25.0,16.0,2019-03-23 19:51:54.69
1017.0,Normal,534.0,352,81.0,444.0,1.0,100.4612,6.0,25.0,16.0,2019-03-23 19:51:43.618
1017.0,Normal,541.0,351,81.0,449.0,1.0,101.9006,7.0,25.0,16.0,2019-03-23 19:51:32.554
1016.0,Normal,544.0,350,81.0,451.0,1.0,101.8938,7.0,25.0,16.0,2019-03-23 19:51:21.485
1017.0,Normal,546.0,349,81.0,452.0,1.0,100.7646,6.0,25.0,16.0,2019-03-23 19:51:10.413
1016.0,Normal,544.0,348,81.0,451.0,1.0,101.5185,7.0,25.0,16.0,2019-03-23 19:50:59.353
